station_id,stationname,date,daytype,rides
40750,Harlem-O'Hare,1/3/2001,W,2443
40760,Granville,1/3/2001,W,2878
40770,Lawrence,1/3/2001,W,2441
40780,Central Park,1/3/2001,W,419
40790,Monroe/Dearborn,1/3/2001,W,5431
40800,Sedgwick,1/3/2001,W,1954
40810,Medical Center,1/3/2001,W,1628
40820,Rosemont,1/3/2001,W,4769
40830,18th,1/3/2001,W,881
40840,South Boulevard,1/3/2001,W,842
40850,Library,1/3/2001,W,2095
40870,Francisco,1/3/2001,W,986
40880,Thorndale,1/3/2001,W,2476
40890,O'Hare Airport,1/3/2001,W,8584
40900,Howard,1/3/2001,W,5814
40910,63rd-Dan Ryan,1/3/2001,W,3350
40920,Pulaski-Forest Park,1/3/2001,W,1060
40930,Midway Airport,1/3/2001,W,7448
40940,Halsted/63rd,1/3/2001,W,681
40960,Pulaski-Orange,1/3/2001,W,3922
40970,Cicero-Forest Park,1/3/2001,W,949
40980,Harlem-Forest Park,1/3/2001,W,727
40990,69th,1/3/2001,W,5977
41000,Cermak-Chinatown,1/3/2001,W,2114
41010,Rockwell,1/3/2001,W,1186
41020,Logan Square,1/3/2001,W,4366
41030,Polk,1/3/2001,W,2217
41040,Kedzie-Cermak,1/3/2001,W,380
41050,Linden,1/3/2001,W,993
41060,Ashland-Orange,1/3/2001,W,1091
41070,Kedzie-Lake,1/3/2001,W,943
41080,47th-South Elevated,1/3/2001,W,1216
41090,Monroe/State,1/3/2001,W,6922
41120,35-Bronzeville-IIT,1/3/2001,W,1357
41130,Halsted-Orange,1/3/2001,W,2029
41140,King Drive,1/3/2001,W,627
41150,Kedzie-Midway,1/3/2001,W,2588
41160,Clinton-Lake,1/3/2001,W,1733
41170,Garfield-Dan Ryan,1/3/2001,W,3977
41180,Kedzie-Brown,1/3/2001,W,1403
41190,Jarvis,1/3/2001,W,1345
41200,Argyle,1/3/2001,W,2569
41210,Wellington,1/3/2001,W,2449
41220,Fullerton,1/3/2001,W,7519
41230,47th-Dan Ryan,1/3/2001,W,1965
41240,Addison-O'Hare,1/3/2001,W,2095
41250,Central-Evanston,1/3/2001,W,865
41260,Austin-Lake,1/3/2001,W,1871
41270,43rd,1/3/2001,W,713
41280,Jefferson Park,1/3/2001,W,6171
41290,Kimball,1/3/2001,W,3480
41300,Loyola,1/3/2001,W,3781
41310,Paulina,1/3/2001,W,2004
41320,Belmont-North Main,1/3/2001,W,8253
41330,Montrose-O'Hare,1/3/2001,W,1786
41340,LaSalle,1/3/2001,W,2023
41350,Oak Park-Lake,1/3/2001,W,1333
41360,California-Lake,1/3/2001,W,660
